Processes,ExecutionTime,Speedup,Efficiency
1,6.539414,1.0,1.0
2,3.234335,2.0219,1.0110
4,1.787084,3.6593,0.9148
8,1.083450,6.0357,0.7545
16,1.224256,5.3415,0.3338
