Processes,ExecutionTime,Speedup,Efficiency
1,9.208411,1.0,1.0
2,4.828627,1.9071,0.9535
4,2.450007,3.7585,0.9396
8,1.182943,7.7843,0.9730
16,0.623206,14.7758,0.9235
32,0.597325,15.4160,0.4818
64,0.228355,40.3250,0.6301
